#,languange,title,Free on-line version,GitHub repo
1,R,Geocomputation with R,https://r.geocompx.org/,https://github.com/geocompx/geocompr
2,R,Spatial Data Science With Applications in R,https://r-spatial.org/book/,
3,R,Spatial Statistics for Data Science: Theory and Practice with R,https://www.paulamoraga.com/book-spatial/,
4,R,Geospatial Health Data: Modeling and Visualization with R-INLA and Shiny,https://www.paulamoraga.com/book-geospatial/,
5,R,Geographic Data Science with R: Visualizing and Analyzing Environmental Change,https://bookdown.org/mcwimberly/gdswr-book/,
6,R,ggplot2: Elegant Graphics for Data Analysis,https://ggplot2-book.org/,https://github.com/hadley/ggplot2-book
7,R,"Fundamentals of Data Visualization",https://clauswilke.com/dataviz/,https://wilkelab.org/SDS375/schedule.html
8,R,Learning Analytics Methods and Tutorials A Practical Guide Using R,https://link.springer.com/content/pdf/10.1007/978-3-031-54464-4.pdf,
9,R,R For Marketing Research and Analytics,https://annas-archive.org/md5/4b978d5b42cefadf33d51f2a9ac2ebce,https://r-marketing.r-forge.r-project.org/Instructor/slides-index.html
10,R,An R companion to Statistical Thinking for the 21st Century,https://statsthinking21.github.io/statsthinking21-R-site/index.html,
11,R,Tidy Finance with R,https://www.tidy-finance.org/r/,
12,R,Tidy Modeling with R,https://www.tmwr.org/,
13,R,Practitioner’s Guide to Data Science,https://scientistcafe.com/ids/,
14,R,Quantitative Economics with R: A Data Science Approach,https://link.springer.com/book/10.1007/978-981-15-2035-8,
15,R,Data Science and Predictive Analytics Biomedical and Health Applications using R,https://link.springer.com/book/10.1007/978-3-319-72347-1?page=1#about-this-book,https://www.socr.umich.edu/people/dinov/courses/DSPA_Topics.html
16,R,Learning analytics methods and tutorials A practical guide using R,https://lamethods.github.io/,
17,R,Supervised Machine Learning for Text Analysis in R,https://smltar.com/,
18,R,Telling Stories with Data with Applications in R,https://rohanalexander.github.io/telling_stories-published/,
19,R,Advanced R Solutions,https://advanced-r-solutions.rbind.io/,
20,R,Reproducible Medical Research with R,https://bookdown.org/pdr_higgins/rmrwr/,
21,R,"Data Analysis in Medicine and Health using R",https://bookdown.org/drki_musa/dataanalysis/,
22,R,Practical Statistics in Medicine with R,https://practical-stats-med-r.netlify.app/,
23,R,R for Health Data Science,https://argoshare.is.ed.ac.uk/healthyr_book/,
24,R,Statistical Inference via Data Science: A ModernDive into R and the Tidyverse ,https://moderndive.com/index.html,
25,R,"Modern Data Visualization with R",https://rkabacoff.github.io/datavis/index.html,https://github.com/rkabacoff/datavis_support
26,R,"Bayes Factors for Forensic Decision Analyses with R",https://link.springer.com/content/pdf/10.1007/978-3-031-09839-0.pdf,
27,R,Behavior Analysis with Machine Learning Using R,https://enriquegit.github.io/behavior-free/?fbclid=IwAR31qf0GdWdr9krjqVCKGdaK3fhiDYov7ELXhbJo2JmkXCiUBKlaUfUydaE,https://github.com/enriquegit/behavior-free-code
28,R,Introduction to Data Science Data Analysis and Prediction Algorithms with R,https://rafalab.dfci.harvard.edu/dsbook/?fbclid=IwAR1-EBYuKvEeSq9q_SvCLFe-L1bnmQFFXRNZra9zXmv3EPL3eGymedVDNk0,
29,R,Introduction to Data Science Data Wrangling and Visualization with R,https://rafalab.dfci.harvard.edu/dsbook-part-1/,
30,R,Introduction to Data Science Statistics and Prediction Algorithms Through Case Studies,https://rafalab.dfci.harvard.edu/dsbook-part-2/,
31,R,R for Data Science,https://r4ds.had.co.nz/,
32,R,The Fundamentals of People Analytics With Applications in R,https://link.springer.com/content/pdf/10.1007/978-3-031-28674-2.pdf,
33,R,"Exploratory Data Analysis with R",https://bookdown.org/rdpeng/exdata/,
34,R,Intro to data analysis with R,https://drive.google.com/file/d/1Rw-hdMtlsGRbCF0yA52yQRcLVQ0aVHv9/view,
35,R,Modeling and Simulation in Pytho,https://allendowney.github.io/ModSimPy/,
36,R,"R Cookbook, 2nd Edition",https://rc2e.com/,
37,R,Using R for Introductory Econometrics,https://www.urfie.net/readOnline.html,
38,R,"Partial Least Squares Structural Equation Modeling (PLS-SEM) Using R",https://link.springer.com/content/pdf/10.1007/978-3-030-80519-7.pdf,
39,R,Beyond Multiple Linear Regression Applied Generalized Linear Models and Multilevel Models in R,https://bookdown.org/roback/bookdown-BeyondMLR/,
40,R,Design and Analysis of Experiments and Observational Studies using R,https://designexptr.org/index.html,
41,R,R for Data Science (2e),https://r4ds.hadley.nz/,
42,R,"Causal Inference in R",https://www.r-causal.org/chapters/03-counterfactuals,
43,R,Quality Control with R An ISO Standards Approach,https://link.springer.com/book/10.1007/978-3-319-24046-6,
44,R,Six Sigma with R Statistical Engineering for Process Improvement,https://link.springer.com/book/10.1007/978-1-4614-3652-2,
45,R,Microeconometrics with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
46,R,Analyzing Baseball Data with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
47,R,Spatial Analysis in Geology Using R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
48,R,Learn R: As a Language,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
49,R,Event History Analysis with R,"https://www.routledge.com/Chapman--HallCRC-The-R-Series/book-series/CRCTHERSER?publishedFilter=alltitles&pd=published,forthcoming&pg=1&pp=48&so=pub&view=list",
